cause,date,year,state
Gunfire,1970-01-01,1970, CA
Vehicular assault,1970-01-02,1970, NC
Automobile accident,1970-01-03,1970, CA
Gunfire,1970-01-06,1970, US
Gunfire,1970-01-08,1970, VA
Automobile accident,1970-01-09,1970, GA
Gunfire,1970-01-13,1970, CA
Gunfire,1970-01-13,1970, TX
Gunfire,1970-01-15,1970, MI
Assault,1970-01-16,1970, CA
Struck by vehicle,1970-01-16,1970, MD
Gunfire,1970-01-18,1970, GA
Gunfire,1970-01-19,1970, PR
Gunfire,1970-01-23,1970, MO
Gunfire,1970-01-24,1970, MI
Gunfire,1970-01-25,1970, OH
Automobile accident,1970-01-25,1970, VA
Gunfire,1970-01-27,1970, CA
Gunfire,1970-01-28,1970, IL
Heart attack,1970-01-30,1970, MA
Gunfire,1970-01-30,1970, PA
Gunfire,1970-01-30,1970, TX
Gunfire,1970-01-31,1970, CT
Gunfire,1970-01-31,1970, TX
Struck by vehicle,1970-02-02,1970, MA
Gunfire,1970-02-06,1970, GA
Gunfire,1970-02-06,1970, NC
Automobile accident,1970-02-06,1970, NY
Gunfire,1970-02-07,1970, TX
Automobile accident,1970-02-08,1970, NY
Automobile accident,1970-02-10,1970, VA
Vehicle pursuit,1970-02-13,1970, CA
Gunfire,1970-02-17,1970, CA
Bomb,1970-02-18,1970, CA
Automobile accident,1970-02-21,1970, MO
Motorcycle accident,1970-02-28,1970, FL
Gunfire,1970-02-28,1970, NY
Aircraft accident,1970-03-01,1970, NY
Aircraft accident,1970-03-01,1970, NY
Exposure to toxins,1970-03-01,1970, NY
Gunfire,1970-03-03,1970, IL
Struck by train,1970-03-06,1970, ID
Gunfire,1970-03-11,1970, MI
Heart attack,1970-03-13,1970, IL
Gunfire,1970-03-13,1970, NJ
Automobile accident,1970-03-17,1970, NY
Aircraft accident,1970-03-18,1970, FL
Gunfire,1970-03-20,1970, LA
Vehicle pursuit,1970-03-20,1970, OH
Gunfire,1970-03-24,1970, MD
Motorcycle accident,1970-03-25,1970, OK
Vehicular assault,1970-03-27,1970, IN
Gunfire,1970-03-29,1970, GA
Gunfire,1970-03-29,1970, GA
Gunfire (Accidental),1970-04-02,1970, IL
Gunfire,1970-04-05,1970, CA
Gunfire,1970-04-05,1970, CA
Gunfire,1970-04-05,1970, CA
Gunfire,1970-04-05,1970, CA
Gunfire,1970-04-05,1970, VA
Gunfire,1970-04-06,1970, PA
Vehicle pursuit,1970-04-11,1970, GA
Vehicular assault,1970-04-11,1970, NY
Assault,1970-04-18,1970, IL
Gunfire,1970-04-23,1970, CA
Automobile accident,1970-04-23,1970, NH
Automobile accident,1970-04-23,1970, NH
Gunfire,1970-04-24,1970, MD
Gunfire,1970-04-29,1970, MI
Gunfire,1970-04-29,1970, MI
Fall,1970-04-30,1970, CA
Automobile accident,1970-05-01,1970, NY
Struck by train,1970-05-02,1970, UT
Gunfire,1970-05-04,1970, NC
Motorcycle accident,1970-05-05,1970, MS
Automobile accident,1970-05-05,1970, VA
Gunfire,1970-05-09,1970, SC
Gunfire,1970-05-09,1970, SC
Fall,1970-05-09,1970, US
Vehicle pursuit,1970-05-11,1970, LA
Gunfire,1970-05-13,1970, CA
Exposure to toxins,1970-05-19,1970, TX
Exposure to toxins,1970-05-19,1970, TX
Automobile accident,1970-05-22,1970, AZ
Assault,1970-05-22,1970, CA
Gunfire,1970-05-22,1970, MN
Gunfire,1970-05-23,1970, FL
Automobile accident,1970-05-24,1970, AL
Gunfire,1970-05-25,1970, NY
Gunfire,1970-05-26,1970, IL
Heart attack,1970-05-28,1970, NH
Heart attack,1970-05-28,1970, NJ
Stabbed,1970-05-28,1970, NY
Struck by vehicle,1970-05-30,1970, CA
Gunfire,1970-06-01,1970, IL
Gunfire,1970-06-02,1970, IL
Gunfire,1970-06-02,1970, IN
Struck by vehicle,1970-06-03,1970, AL
Gunfire,1970-06-03,1970, AL
Gunfire,1970-06-03,1970, GA
Gunfire,1970-06-05,1970, CA
Gunfire,1970-06-07,1970, IN
Gunfire,1970-06-07,1970, IN
Struck by train,1970-06-10,1970, RR
