userid,No.,plottype,userinput,act_percent,accuracy
21484545,1,Horizontal Bar Chart,40.0,45.2,2.4
21484545,2,Tree Chart,100.0,96.9,1.7
21484545,3,Pie Chart,10.0,22.5,3.7
21484545,4,Pie Chart,30.0,39.4,3.3
21484545,5,Tree Chart,80.0,79.6,0.0
21484545,6,Horizontal Bar Chart,20.0,23.5,1.9
21484545,7,Tree Chart,10.0,14.1,2.1
21484545,8,Tree Chart,65.0,65.6,0.0
21484545,9,Horizontal Bar Chart,30.0,48.5,4.2
21484545,10,Horizontal Bar Chart,15.0,11.5,1.8
21484545,11,Horizontal Bar Chart,95.0,90.6,2.2
21484545,12,Pie Chart,80.0,75.0,2.4
21484545,13,Pie Chart,50.0,63.3,3.7
21484545,14,Tree Chart,35.0,42.9,3.0
21484545,15,Tree Chart,10.0,6.7,1.8
21484545,16,Tree Chart,90.0,92.9,1.6
21484545,17,Tree Chart,90.0,81.7,3.1
21484545,18,Pie Chart,20.0,23.8,2.0
21484545,19,Tree Chart,70.0,69.6,0.0
21484545,20,Tree Chart,10.0,7.5,1.4
21484545,21,Tree Chart,30.0,57.5,4.8
21484545,22,Horizontal Bar Chart,90.0,92.6,1.4
21484545,23,Pie Chart,30.0,30.3,0.0
21484545,24,Horizontal Bar Chart,20.0,15.4,2.2
21484545,25,Pie Chart,15.0,21.5,2.7
21484545,26,Horizontal Bar Chart,8.0,4.9,1.7
21484545,27,Pie Chart,30.0,43.3,3.7
21484545,28,Pie Chart,70.0,72.6,1.4
21484545,29,Pie Chart,95.0,68.4,4.7
21484545,30,Pie Chart,10.0,8.3,0.8
21484545,31,Tree Chart,70.0,72.0,1.1
21484545,32,Horizontal Bar Chart,75.0,79.1,2.1
21484545,33,Tree Chart,50.0,54.0,2.0
21484545,34,Pie Chart,80.0,82.3,1.3
21484545,35,Horizontal Bar Chart,20.0,21.9,1.0
21484545,36,Horizontal Bar Chart,65.0,67.9,1.6
21484545,37,Pie Chart,80.0,85.1,2.4
21484545,38,Horizontal Bar Chart,65.0,71.6,2.7
21484545,39,Horizontal Bar Chart,85.0,84.4,0.0
21484545,40,Tree Chart,70.0,60.0,3.3
21484545,41,Tree Chart,33.0,46.7,3.8
21484545,42,Tree Chart,70.0,62.5,2.9
21484545,43,Horizontal Bar Chart,60.0,56.3,2.0
21484545,44,Horizontal Bar Chart,40.0,40.4,0.0
21484545,45,Tree Chart,90.0,98.5,3.1
21484545,46,Pie Chart,10.0,13.6,1.9
21484545,47,Tree Chart,10.0,15.2,2.4
21484545,48,Tree Chart,40.0,78.0,5.3
21484545,49,Horizontal Bar Chart,33.0,31.8,0.4
21484545,50,Pie Chart,15.0,21.7,2.8
21484545,51,Pie Chart,20.0,31.6,3.5
21484545,52,Pie Chart,70.0,66.7,1.8
21484545,53,Horizontal Bar Chart,30.0,24.6,2.5
21484545,54,Pie Chart,50.0,54.5,2.2
21484545,55,Pie Chart,5.0,6.7,0.8
21484545,56,Tree Chart,10.0,15.1,2.4
21484545,57,Horizontal Bar Chart,70.0,79.4,3.2
21484545,58,Horizontal Bar Chart,65.0,60.2,2.3
21484545,59,Pie Chart,60.0,64.5,2.2
21484545,60,Pie Chart,50.0,55.4,2.5
